date,xejVolatility,cloudCover
2021-04-16,177.19921875,19
2021-04-19,122.2001953125,49
2021-04-20,117.89990234375,38
2021-04-21,230.19970703125,66
2021-04-22,143.10009765625,72
2021-04-23,70.60009765625,89
2021-04-26,86.2998046875,11
2021-04-27,70.69970703125,29
2021-04-28,123.900390625,35
2021-04-29,103.10009765625,1
2021-04-30,95.39990234375,25
2021-05-03,97.39990234375,56
2021-05-04,136.69970703125,43
2021-05-05,103.5,77
2021-05-06,93.60009765625,75
2021-05-07,80.2001953125,81
2021-05-10,98.2998046875,78
2021-05-11,217.0,57
2021-05-12,190.7001953125,24
2021-05-13,97.0,70
2021-05-14,148.89990234375,74
2021-05-17,112.5,56
2021-05-18,139.89990234375,32
2021-05-19,248.900390625,76
2021-05-20,109.60009765625,70
2021-05-21,198.5,7
2021-05-24,104.60009765625,97
2021-05-25,82.099609375,60
2021-05-26,96.60009765625,49
2021-05-27,88.10009765625,41
2021-05-28,167.7001953125,79
2021-05-31,136.5,91
2021-06-01,125.39990234375,54
2021-06-02,336.80029296875,42
2021-06-03,269.7001953125,34
2021-06-04,116.5,46
2021-06-07,144.599609375,50
2021-06-08,80.8994140625,65
2021-06-09,103.8994140625,27
2021-06-10,117.30078125,65
2021-06-11,141.2001953125,63
2021-06-15,79.099609375,55
2021-06-16,173.3994140625,83
2021-06-17,203.599609375,70
2021-06-18,193.1005859375,41
2021-06-21,172.89990234375,32
2021-06-22,234.0,100
2021-06-23,120.7001953125,65
2021-06-24,125.80029296875,64
2021-06-25,58.60009765625,60
2021-06-28,66.39990234375,51
2021-06-29,156.10009765625,18
2021-06-30,111.0,25
2021-07-01,87.5,49
2021-07-02,168.30029296875,56
2021-07-05,192.99951171875,98
2021-07-06,192.6005859375,42
2021-07-07,193.2998046875,60
2021-07-08,101.099609375,91
2021-07-09,128.5,53
2021-07-12,148.2998046875,64
2021-07-13,105.0,78
2021-07-14,111.900390625,47
2021-07-15,66.99951171875,62
2021-07-16,72.2001953125,66
2021-07-19,200.5,86
2021-07-20,182.5,41
2021-07-21,162.5,84
2021-07-22,215.099609375,99
2021-07-23,110.099609375,73
2021-07-26,126.89990234375,50
2021-07-27,110.80029296875,50
2021-07-28,113.89990234375,38
2021-07-29,46.7001953125,19
2021-07-30,93.900390625,35
2021-08-02,167.0,41
2021-08-03,118.400390625,47
2021-08-04,111.2998046875,62
2021-08-05,128.7001953125,59
2021-08-06,82.39990234375,64
2021-08-09,64.5,8
2021-08-10,66.7998046875,75
2021-08-11,113.2001953125,61
2021-08-12,53.7998046875,46
2021-08-13,90.89990234375,43
2021-08-16,256.10009765625,51
